loc_index,x,y
4.000000000000000000e+01,2.983018715231787743e-01,-1.069335894039735377e-02
4.100000000000000000e+01,3.083015033112582737e-01,-1.140696291390728631e-02
4.200000000000000000e+01,3.183011350993376620e-01,-1.212056688741721885e-02
4.300000000000000000e+01,3.283007668874172724e-01,-1.283417086092715487e-02
4.400000000000000000e+01,3.383003986754966608e-01,-1.354777483443708741e-02
4.500000000000000000e+01,3.483000304635761601e-01,-1.426137880794702689e-02
4.600000000000000000e+01,3.582996622516556595e-01,-1.497498278145695944e-02
4.700000000000000000e+01,3.682992940397350479e-01,-1.568858675496688504e-02
4.800000000000000000e+01,3.782989258278145472e-01,-1.640219072847682452e-02
4.900000000000000000e+01,3.882985576158940466e-01,-1.711579470198675706e-02
5.000000000000000000e+01,3.982981894039735460e-01,-1.782939867549669655e-02
5.100000000000000000e+01,4.082978211920530454e-01,-1.854300264900662909e-02
5.200000000000000000e+01,4.182974529801324337e-01,-1.925660662251655469e-02
5.300000000000000000e+01,4.282970847682119331e-01,-1.997021059602649418e-02
5.400000000000000000e+01,4.382967165562914325e-01,-2.068381456953642672e-02
5.500000000000000000e+01,4.482963483443708208e-01,-2.139741854304635926e-02
5.600000000000000000e+01,4.582959801324503202e-01,-2.211102251655629181e-02
5.700000000000000000e+01,4.682956119205298195e-01,-2.282462649006622435e-02
5.800000000000000000e+01,4.782952437086093189e-01,-2.353823046357616383e-02
5.900000000000000000e+01,4.882948754966887073e-01,-2.425183443708609637e-02
6.000000000000000000e+01,4.982945072847682066e-01,-2.496543841059602892e-02
6.100000000000000000e+01,5.082941390728477060e-01,-2.567904238410596146e-02
6.200000000000000000e+01,5.182937708609270944e-01,-2.639264635761589400e-02
6.300000000000000000e+01,5.282934026490067048e-01,-2.710625033112583349e-02
6.400000000000000000e+01,5.382930344370860931e-01,-2.781985430463576603e-02
6.500000000000000000e+01,5.482926662251654815e-01,-2.853345827814569857e-02
6.600000000000000000e+01,5.582922980132450919e-01,-2.924706225165563112e-02
6.700000000000000000e+01,5.682919298013244802e-01,-2.996066622516556366e-02
6.800000000000000000e+01,5.782915615894039796e-01,-3.067427019867550314e-02
6.900000000000000000e+01,5.882911933774834790e-01,-3.138787417218543568e-02
7.000000000000000000e+01,5.982908251655628673e-01,-3.210147814569536823e-02
7.100000000000000000e+01,6.082904569536423667e-01,-3.281508211920530077e-02
7.200000000000000000e+01,6.182900887417218661e-01,-3.352868609271523331e-02
7.300000000000000000e+01,6.282897205298013654e-01,-3.424229006622517280e-02
7.400000000000000000e+01,6.382893523178807538e-01,-3.495589403973510534e-02
7.500000000000000000e+01,6.482889841059602531e-01,-3.566949801324503788e-02
7.600000000000000000e+01,6.582886158940397525e-01,-3.638310198675497042e-02
7.700000000000000000e+01,6.682882476821192519e-01,-3.709670596026490991e-02
7.800000000000000000e+01,6.782878794701986402e-01,-3.781030993377483551e-02
7.900000000000000000e+01,6.882875112582781396e-01,-3.852391390728477499e-02
8.000000000000000000e+01,6.982871430463576390e-01,-3.923751788079470754e-02
8.100000000000000000e+01,7.082867748344370273e-01,-3.995112185430463314e-02
8.200000000000000000e+01,7.182864066225165267e-01,-4.066472582781457262e-02
8.300000000000000000e+01,7.282860384105960261e-01,-4.137832980132451210e-02
8.400000000000000000e+01,7.382856701986754144e-01,-4.209193377483443771e-02
8.500000000000000000e+01,7.482853019867549138e-01,-4.280553774834437719e-02
8.600000000000000000e+01,7.582849337748345242e-01,-4.351914172185430973e-02
8.700000000000000000e+01,7.682845655629138015e-01,-4.423274569536423534e-02
8.800000000000000000e+01,7.782841973509933009e-01,-4.494634966887417482e-02
8.900000000000000000e+01,7.882838291390729113e-01,-4.565995364238410736e-02
