loc_index,x,y
1.280000000000000000e+02,1.275497348299319711e+00,-8.260121360544217528e-02
1.290000000000000000e+02,1.285511751020408155e+00,-8.299599183673470049e-02
1.300000000000000000e+02,1.295526153741496600e+00,-8.339077006802721181e-02
1.310000000000000000e+02,1.305540556462585045e+00,-8.378554829931972314e-02
1.320000000000000000e+02,1.315554959183673489e+00,-8.418032653061224835e-02
1.330000000000000000e+02,1.325569361904761934e+00,-8.457510476190477355e-02
1.340000000000000000e+02,1.335583764625850378e+00,-8.496988299319727100e-02
1.350000000000000000e+02,1.345598167346938823e+00,-8.536466122448979621e-02
1.360000000000000000e+02,1.355612570068027045e+00,-8.575943945578230754e-02
1.370000000000000000e+02,1.365626972789115490e+00,-8.615421768707481887e-02
1.380000000000000000e+02,1.375641375510203934e+00,-8.654899591836734407e-02
1.390000000000000000e+02,1.385655778231292379e+00,-8.694377414965986928e-02
1.400000000000000000e+02,1.395670180952380823e+00,-8.733855238095238060e-02
1.410000000000000000e+02,1.405684583673469268e+00,-8.773333061224489193e-02
1.420000000000000000e+02,1.415698986394557712e+00,-8.812810884353741714e-02
1.430000000000000000e+02,1.425713389115646157e+00,-8.852288707482992847e-02
1.440000000000000000e+02,1.435727791836734601e+00,-8.891766530612243979e-02
1.450000000000000000e+02,1.445742194557823046e+00,-8.931244353741496500e-02
1.460000000000000000e+02,1.455756597278911491e+00,-8.970722176870749021e-02
